game,seed,rl_won,rl_steps,rl_reward,bayes_won,bayes_steps,bayes_reward
1,33158374,1,68,10254.0,1,56,10261.0
2,1465339467,1,81,10228.0,1,73,10230.0
3,1273345680,1,81,10198.0,1,78,10205.0
4,115579757,1,94,10259.0,1,85,10268.0
5,1952249162,0,8,-992.0,0,1,-1000.0
6,473219222,1,87,10237.0,1,86,10252.0
7,547800578,1,85,10249.0,1,84,10271.0
8,395935448,0,65,-880.0,1,69,10171.0
9,716435562,1,90,10244.0,1,76,10260.0
10,377755045,1,70,10199.0,1,70,10201.0
11,746900260,1,84,10246.0,1,80,10258.0
12,1743959672,0,90,-777.0,0,3,-998.0
13,969357255,1,65,10250.0,1,68,10252.0
14,1982868283,1,75,10246.0,0,1,-1000.0
15,965220468,1,102,10256.0,1,94,10265.0
16,593938996,1,62,10243.0,1,57,10258.0
17,1693852805,0,1,-1000.0,1,75,10255.0
18,1760409515,1,93,10236.0,1,81,10256.0
19,1850933495,1,88,10251.0,1,90,10263.0
20,1911030005,0,3,-998.0,0,4,-997.0
21,53841429,0,1,-1000.0,0,5,-995.0
22,1101595663,0,2,-999.0,1,79,10258.0
23,575885763,0,1,-1000.0,0,72,-739.0
24,526057474,1,99,10255.0,0,5,-996.0
25,518022750,1,71,10243.0,0,2,-999.0
26,1770045348,0,2,-999.0,0,1,-1000.0
27,1700981397,1,102,10237.0,1,99,10274.0
28,459052467,0,3,-993.0,1,89,10273.0
29,879613214,0,14,-982.0,0,1,-1000.0
30,1592288369,0,1,-1000.0,1,94,10263.0
31,318317950,1,91,10206.0,1,76,10221.0
32,1352786287,0,95,-762.0,0,95,-731.0
33,941907327,1,82,10218.0,1,82,10239.0
34,1991591921,1,81,10256.0,1,75,10260.0
35,1587352716,1,93,10183.0,1,84,10198.0
36,498019042,1,95,10202.0,1,80,10220.0
37,1793255565,0,4,-997.0,1,76,10256.0
38,1716108145,1,70,10211.0,1,65,10222.0
39,457504877,1,59,10237.0,0,1,-1000.0
40,1112750942,1,60,10129.0,1,61,10137.0
41,1705426420,1,92,10248.0,1,86,10268.0
42,497261917,0,2,-999.0,1,89,10269.0
43,525711219,0,2,-999.0,1,103,10274.0
44,356276112,1,74,10149.0,1,66,10155.0
45,16319298,1,79,10248.0,0,1,-1000.0
46,1068993669,0,1,-1000.0,0,1,-1000.0
47,34687563,1,86,10249.0,1,81,10267.0
48,1251391636,0,71,-798.0,1,87,10260.0
49,892880451,0,64,-860.0,1,72,10168.0
50,395862813,1,96,10260.0,1,85,10273.0
51,777045672,0,3,-998.0,1,105,10276.0
52,31986589,0,2,-999.0,1,98,10273.0
53,307974985,1,89,10211.0,1,85,10231.0
54,1011750904,0,82,-754.0,1,74,10262.0
55,166009390,0,2,-999.0,1,88,10277.0
56,1563890638,1,82,10182.0,1,85,10190.0
57,551657761,0,1,-1000.0,1,67,10248.0
58,1972679534,0,1,-1000.0,0,60,-754.0
59,364416294,0,71,-776.0,0,69,-764.0
60,1343324047,1,70,10246.0,1,62,10262.0
61,1106683805,1,83,10239.0,1,88,10258.0
62,1969505726,0,3,-998.0,1,83,10260.0
63,1326696624,0,1,-1000.0,1,84,10267.0
64,1856908173,0,3,-998.0,1,78,10255.0
65,996800583,1,73,10245.0,1,66,10259.0
66,468458252,1,74,10256.0,1,77,10250.0
67,406430445,1,96,10250.0,0,3,-998.0
68,1859994493,1,84,10243.0,1,73,10269.0
69,436386690,1,59,10233.0,1,51,10255.0
70,1569277833,1,115,10249.0,0,1,-1000.0
71,1132670987,1,114,10255.0,0,1,-1000.0
72,596711166,1,101,10248.0,1,100,10262.0
73,881793131,1,89,10251.0,1,83,10262.0
74,1711637996,0,1,-1000.0,1,70,10274.0
75,972706137,1,76,10251.0,1,68,10260.0
76,1858049479,1,86,10249.0,0,2,-999.0
77,2031390834,1,76,10170.0,1,76,10170.0
78,643037983,0,69,-759.0,0,63,-747.0
79,1129167025,1,95,10252.0,0,85,-749.0
80,1131814256,1,115,10253.0,1,102,10275.0
81,1166011179,0,4,-992.0,0,4,-990.0
82,153516747,1,91,10252.0,0,1,-1000.0
83,794201560,0,77,-776.0,0,80,-771.0
84,1252494947,1,85,10244.0,1,81,10272.0
85,1972064322,1,95,10245.0,1,86,10264.0
86,510900102,0,1,-1000.0,1,77,10264.0
87,1383168686,0,2,-999.0,0,4,-997.0
88,1642746920,1,70,10249.0,1,68,10261.0
89,1984971981,0,1,-1000.0,1,79,10270.0
90,372871098,1,83,10165.0,1,80,10183.0
91,1448038571,1,74,10156.0,1,78,10174.0
92,671608880,1,93,10261.0,0,2,-999.0
93,944998020,1,67,10247.0,1,69,10262.0
94,31083701,0,56,-767.0,0,63,-751.0
95,1551035837,1,102,10272.0,1,95,10273.0
96,69904718,1,89,10239.0,1,87,10256.0
97,803059054,1,60,10249.0,0,66,-749.0
98,1066659082,1,78,10229.0,1,70,10249.0
99,1436707478,1,91,10245.0,1,78,10262.0
100,1005693509,0,3,-995.0,1,53,10252.0
