game,seed,rl_won,rl_steps,rl_reward,bayes_won,bayes_steps,bayes_reward
1,33158374,1,68,10254.0,1,61,10262.0
2,1465339467,1,81,10228.0,1,75,10229.0
3,1273345680,1,81,10198.0,1,74,10207.0
4,115579757,1,94,10259.0,1,84,10264.0
5,1952249162,0,8,-992.0,1,97,10271.0
6,473219222,1,87,10237.0,1,76,10248.0
7,547800578,1,85,10249.0,0,2,-999.0
8,395935448,0,65,-880.0,1,74,10176.0
9,716435562,1,90,10244.0,1,78,10263.0
10,377755045,1,70,10199.0,1,71,10202.0
11,746900260,1,84,10246.0,1,76,10257.0
12,1743959672,0,90,-777.0,0,1,-1000.0
13,969357255,1,65,10250.0,0,1,-1000.0
14,1982868283,1,75,10246.0,0,2,-999.0
15,965220468,1,102,10256.0,1,96,10265.0
16,593938996,1,62,10243.0,1,59,10262.0
17,1693852805,0,1,-1000.0,1,91,10276.0
18,1760409515,1,93,10236.0,1,87,10252.0
19,1850933495,1,88,10251.0,1,89,10264.0
20,1911030005,0,3,-998.0,0,4,-997.0
21,53841429,0,1,-1000.0,0,3,-998.0
22,1101595663,0,2,-999.0,1,79,10263.0
23,575885763,0,1,-1000.0,1,68,10264.0
24,526057474,1,99,10255.0,1,94,10267.0
25,518022750,1,71,10243.0,1,69,10246.0
26,1770045348,0,2,-999.0,1,115,10279.0
27,1700981397,1,102,10237.0,1,103,10277.0
28,459052467,0,3,-993.0,0,2,-999.0
29,879613214,0,14,-982.0,0,1,-1000.0
30,1592288369,0,1,-1000.0,0,5,-995.0
31,318317950,1,91,10206.0,1,77,10220.0
32,1352786287,0,95,-762.0,0,3,-998.0
33,941907327,1,82,10218.0,1,70,10230.0
34,1991591921,1,81,10256.0,1,74,10262.0
35,1587352716,1,93,10183.0,1,88,10201.0
36,498019042,1,95,10202.0,1,88,10220.0
37,1793255565,0,4,-997.0,0,76,-746.0
38,1716108145,1,70,10211.0,1,61,10216.0
39,457504877,1,59,10237.0,0,1,-1000.0
40,1112750942,1,60,10129.0,1,63,10142.0
41,1705426420,1,92,10248.0,1,88,10271.0
42,497261917,0,2,-999.0,1,88,10274.0
43,525711219,0,2,-999.0,1,108,10272.0
44,356276112,1,74,10149.0,1,67,10154.0
45,16319298,1,79,10248.0,0,6,-995.0
46,1068993669,0,1,-1000.0,1,89,10263.0
47,34687563,1,86,10249.0,1,70,10263.0
48,1251391636,0,71,-798.0,1,84,10255.0
49,892880451,0,64,-860.0,1,82,10181.0
50,395862813,1,96,10260.0,1,93,10274.0
51,777045672,0,3,-998.0,0,2,-999.0
52,31986589,0,2,-999.0,1,98,10270.0
53,307974985,1,89,10211.0,1,81,10228.0
54,1011750904,0,82,-754.0,0,1,-1000.0
55,166009390,0,2,-999.0,1,84,10269.0
56,1563890638,1,82,10182.0,1,81,10194.0
57,551657761,0,1,-1000.0,0,1,-1000.0
58,1972679534,0,1,-1000.0,0,70,-747.0
59,364416294,0,71,-776.0,1,72,10239.0
60,1343324047,1,70,10246.0,0,2,-999.0
61,1106683805,1,83,10239.0,1,72,10250.0
62,1969505726,0,3,-998.0,1,87,10266.0
63,1326696624,0,1,-1000.0,1,86,10262.0
64,1856908173,0,3,-998.0,1,73,10265.0
65,996800583,1,73,10245.0,1,66,10256.0
66,468458252,1,74,10256.0,1,75,10257.0
67,406430445,1,96,10250.0,0,4,-997.0
68,1859994493,1,84,10243.0,1,74,10271.0
69,436386690,1,59,10233.0,1,56,10251.0
70,1569277833,1,115,10249.0,1,108,10274.0
71,1132670987,1,114,10255.0,1,113,10283.0
72,596711166,1,101,10248.0,1,91,10255.0
73,881793131,1,89,10251.0,1,85,10263.0
74,1711637996,0,1,-1000.0,1,71,10267.0
75,972706137,1,76,10251.0,1,73,10266.0
76,1858049479,1,86,10249.0,1,81,10262.0
77,2031390834,1,76,10170.0,1,77,10169.0
78,643037983,0,69,-759.0,0,1,-1000.0
79,1129167025,1,95,10252.0,1,86,10263.0
80,1131814256,1,115,10253.0,1,102,10280.0
81,1166011179,0,4,-992.0,0,1,-1000.0
82,153516747,1,91,10252.0,1,87,10272.0
83,794201560,0,77,-776.0,0,76,-776.0
84,1252494947,1,85,10244.0,1,79,10271.0
85,1972064322,1,95,10245.0,0,1,-1000.0
86,510900102,0,1,-1000.0,1,85,10263.0
87,1383168686,0,2,-999.0,1,87,10259.0
88,1642746920,1,70,10249.0,0,2,-999.0
89,1984971981,0,1,-1000.0,1,72,10263.0
90,372871098,1,83,10165.0,1,75,10177.0
91,1448038571,1,74,10156.0,1,74,10171.0
92,671608880,1,93,10261.0,1,95,10282.0
93,944998020,1,67,10247.0,1,65,10254.0
94,31083701,0,56,-767.0,0,3,-998.0
95,1551035837,1,102,10272.0,1,108,10276.0
96,69904718,1,89,10239.0,1,85,10257.0
97,803059054,1,60,10249.0,1,66,10251.0
98,1066659082,1,78,10229.0,1,79,10247.0
99,1436707478,1,91,10245.0,1,81,10260.0
100,1005693509,0,3,-995.0,1,55,10258.0
101,1801464637,1,84,10215.0,1,70,10219.0
102,274212879,0,64,-825.0,0,66,-822.0
103,563165443,1,90,10193.0,1,88,10203.0
104,553111267,1,93,10239.0,1,97,10250.0
105,815560736,0,77,-757.0,0,1,-1000.0
106,6831379,1,70,10246.0,1,70,10264.0
107,921954850,1,95,10256.0,1,86,10262.0
108,818336756,1,110,10254.0,0,1,-1000.0
109,1257204109,1,72,10188.0,1,67,10199.0
110,1236678030,1,97,10269.0,0,1,-1000.0
111,603990709,0,5,-996.0,1,91,10271.0
112,917617123,1,77,10244.0,1,73,10256.0
113,1080484779,1,74,10260.0,1,71,10268.0
114,1793368634,1,94,10239.0,0,1,-1000.0
115,165097156,1,87,10219.0,1,86,10224.0
116,1323904880,0,59,-770.0,1,62,10243.0
117,172157002,0,6,-995.0,1,91,10268.0
118,571410849,1,78,10254.0,1,83,10267.0
119,953565535,0,81,-805.0,0,83,-801.0
120,1741656721,0,5,-996.0,1,69,10256.0
121,723223800,1,100,10241.0,1,90,10272.0
122,1072639628,1,127,10247.0,0,7,-993.0
123,1243123087,0,6,-988.0,0,1,-1000.0
124,1629532755,1,87,10237.0,1,77,10245.0
125,849927323,0,61,-820.0,0,79,-789.0
126,1215667055,1,88,10247.0,1,75,10267.0
127,1801403296,0,66,-771.0,0,67,-753.0
128,939396022,1,94,10232.0,1,81,10237.0
129,2014090198,0,64,-757.0,0,1,-1000.0
130,850735190,0,3,-995.0,0,2,-999.0
131,929911029,1,76,10258.0,0,1,-1000.0
132,47749916,1,98,10252.0,0,3,-998.0
133,1145088216,1,74,10252.0,1,64,10267.0
134,1007923142,0,3,-998.0,0,69,-744.0
135,891377204,1,84,10167.0,1,75,10184.0
136,1339081471,0,1,-1000.0,1,51,10241.0
137,1176425484,1,82,10191.0,1,75,10209.0
138,2031763099,0,1,-1000.0,0,1,-1000.0
139,873253819,1,114,10242.0,1,112,10268.0
140,934855638,1,89,10253.0,0,2,-999.0
141,1744060416,0,1,-1000.0,1,63,10254.0
142,1042906971,1,62,10250.0,1,64,10249.0
143,537439779,1,98,10257.0,1,97,10271.0
144,1114791282,1,88,10249.0,1,89,10239.0
145,1088190918,1,99,10255.0,1,92,10264.0
146,877442447,1,79,10239.0,1,75,10247.0
147,1140137344,1,63,10228.0,1,63,10242.0
148,1242954340,1,96,10256.0,1,91,10274.0
149,2084823303,1,69,10224.0,1,58,10223.0
150,151076919,1,75,10248.0,1,67,10266.0
151,1960719644,1,78,10258.0,1,69,10257.0
152,1048796290,0,1,-1000.0,1,85,10267.0
153,814917965,1,68,10240.0,1,60,10254.0
154,1310276040,1,80,10215.0,1,76,10230.0
155,248246865,0,67,-782.0,1,66,10271.0
156,1597468218,1,93,10259.0,1,85,10270.0
157,202485893,1,76,10244.0,1,68,10255.0
158,923053584,1,85,10235.0,1,94,10252.0
159,433131173,1,92,10182.0,1,92,10184.0
160,650262628,1,92,10255.0,0,3,-998.0
161,1011214180,0,1,-1000.0,1,93,10268.0
162,12648749,1,86,10250.0,0,1,-1000.0
163,1908354161,1,83,10251.0,0,4,-997.0
164,1624526217,0,88,-787.0,0,87,-780.0
165,2058055077,1,78,10230.0,1,73,10243.0
166,166593126,1,73,10250.0,0,1,-1000.0
167,378496905,0,3,-993.0,1,98,10270.0
168,1052241298,1,81,10252.0,1,83,10266.0
169,1836830550,0,5,-996.0,1,51,10234.0
170,653610477,0,82,-789.0,1,93,10239.0
171,643126122,1,102,10247.0,1,94,10276.0
172,1805651843,1,80,10220.0,1,76,10233.0
173,3247489,1,78,10229.0,0,2,-999.0
174,2041131371,1,102,10236.0,1,96,10258.0
175,407920293,1,80,10195.0,1,78,10204.0
176,684777943,0,43,-763.0,0,1,-1000.0
177,696117697,1,89,10211.0,1,83,10232.0
178,1927942719,1,70,10235.0,1,65,10238.0
179,1763833526,0,1,-1000.0,1,63,10260.0
180,724838116,1,91,10247.0,0,2,-999.0
181,733041285,1,75,10252.0,1,70,10262.0
