game,seed,rl_won,rl_steps,rl_reward,bayes_won,bayes_steps,bayes_reward
1,33158374,1,68,10252.0,0,1,-1000.0
2,1465339467,1,80,10228.0,1,82,10228.0
3,1273345680,1,78,10198.0,1,85,10211.0
4,115579757,1,93,10263.0,0,4,-997.0
5,1952249162,0,80,-796.0,1,100,10276.0
6,473219222,1,88,10240.0,1,74,10237.0
7,547800578,1,85,10256.0,1,82,10269.0
8,395935448,0,63,-880.0,1,73,10175.0
9,716435562,1,90,10244.0,0,3,-998.0
10,377755045,1,72,10200.0,1,72,10202.0
11,746900260,1,84,10246.0,0,2,-999.0
12,1743959672,0,89,-777.0,1,98,10266.0
13,969357255,1,66,10250.0,1,64,10257.0
14,1982868283,1,72,10248.0,1,68,10254.0
15,965220468,1,103,10257.0,1,99,10270.0
16,593938996,1,62,10242.0,1,60,10269.0
17,1693852805,0,1,-1000.0,1,81,10258.0
18,1760409515,1,93,10235.0,1,90,10269.0
19,1850933495,0,52,-848.0,0,2,-999.0
20,1911030005,0,3,-998.0,1,63,10257.0
21,53841429,0,1,-1000.0,0,62,-752.0
22,1101595663,0,2,-999.0,1,79,10259.0
23,575885763,0,1,-1000.0,0,1,-1000.0
24,526057474,1,98,10254.0,1,92,10268.0
25,518022750,1,72,10243.0,0,2,-999.0
26,1770045348,0,2,-999.0,0,2,-999.0
27,1700981397,1,104,10240.0,1,100,10263.0
28,459052467,0,10,-985.0,0,2,-999.0
29,879613214,1,100,10258.0,0,3,-998.0
30,1592288369,0,1,-1000.0,1,98,10270.0
31,318317950,1,91,10205.0,1,80,10221.0
32,1352786287,0,94,-762.0,0,87,-722.0
33,941907327,1,77,10225.0,1,70,10240.0
34,1991591921,1,81,10257.0,0,1,-1000.0
35,1587352716,1,93,10183.0,1,90,10204.0
36,498019042,1,95,10202.0,1,94,10224.0
37,1793255565,0,4,-997.0,1,72,10257.0
38,1716108145,1,70,10211.0,1,65,10218.0
39,457504877,1,59,10240.0,1,50,10256.0
40,1112750942,1,60,10129.0,1,59,10142.0
41,1705426420,1,92,10248.0,0,1,-1000.0
42,497261917,0,2,-999.0,1,90,10271.0
43,525711219,0,2,-999.0,1,110,10283.0
44,356276112,1,74,10149.0,1,72,10162.0
45,16319298,0,9,-992.0,0,2,-999.0
46,1068993669,0,1,-1000.0,1,95,10272.0
47,34687563,1,85,10248.0,1,72,10260.0
48,1251391636,1,85,10238.0,1,89,10258.0
49,892880451,0,59,-871.0,1,78,10177.0
50,395862813,1,96,10260.0,0,1,-1000.0
51,777045672,0,3,-998.0,1,96,10264.0
52,31986589,0,2,-999.0,0,1,-1000.0
53,307974985,1,88,10210.0,1,88,10237.0
54,1011750904,0,79,-753.0,1,85,10263.0
55,166009390,0,2,-999.0,1,81,10264.0
