game,seed,rl_won,rl_steps,rl_reward,bayes_won,bayes_steps,bayes_reward
128,939396022,1,96,10235.0,1,82,10236.0
129,2014090198,0,64,-754.0,0,60,-739.0
130,850735190,0,3,-995.0,0,1,-1000.0
131,929911029,0,68,-781.0,1,78,10265.0
132,47749916,1,99,10254.0,1,92,10273.0
133,1145088216,1,71,10256.0,1,64,10246.0
134,1007923142,0,3,-998.0,0,67,-744.0
135,891377204,1,79,10172.0,1,76,10183.0
136,1339081471,0,1,-1000.0,1,55,10247.0
137,1176425484,1,83,10196.0,1,81,10212.0
138,2031763099,0,1,-1000.0,0,70,-740.0
139,873253819,1,112,10250.0,1,105,10267.0
140,934855638,1,87,10257.0,0,4,-997.0
141,1744060416,0,1,-1000.0,0,7,-994.0
142,1042906971,1,61,10252.0,1,65,10247.0
143,537439779,0,2,-999.0,1,94,10273.0
144,1114791282,1,89,10245.0,1,88,10242.0
145,1088190918,1,99,10260.0,1,90,10262.0
146,877442447,1,79,10239.0,1,77,10245.0
147,1140137344,1,63,10230.0,1,65,10237.0
148,1242954340,1,96,10257.0,0,1,-1000.0
149,2084823303,1,65,10229.0,1,59,10229.0
150,151076919,1,73,10249.0,1,63,10256.0
151,1960719644,1,74,10258.0,1,71,10262.0
152,1048796290,0,1,-1000.0,1,73,10268.0
153,814917965,1,67,10242.0,1,69,10254.0
154,1310276040,1,83,10220.0,1,81,10227.0
155,248246865,0,56,-809.0,0,1,-1000.0
156,1597468218,1,93,10262.0,1,90,10274.0
157,202485893,1,75,10246.0,0,1,-1000.0
158,923053584,1,85,10234.0,1,88,10242.0
159,433131173,1,92,10180.0,1,99,10195.0
160,650262628,1,92,10267.0,1,92,10261.0
161,1011214180,0,1,-1000.0,1,95,10272.0
162,12648749,1,87,10253.0,1,75,10268.0
163,1908354161,1,83,10255.0,1,74,10268.0
164,1624526217,0,88,-789.0,1,89,10219.0
165,2058055077,1,77,10230.0,0,67,-764.0
166,166593126,1,73,10258.0,1,73,10256.0
167,378496905,0,3,-993.0,1,102,10276.0
168,1052241298,1,74,10256.0,0,1,-1000.0
169,1836830550,0,6,-995.0,1,58,10238.0
170,653610477,0,85,-791.0,1,89,10241.0
171,643126122,1,101,10248.0,1,93,10276.0
172,1805651843,1,81,10226.0,1,74,10225.0
173,3247489,0,66,-782.0,1,75,10258.0
174,2041131371,1,99,10240.0,1,97,10259.0
175,407920293,1,81,10192.0,1,75,10211.0
176,684777943,1,46,10239.0,1,44,10245.0
177,696117697,1,87,10217.0,1,82,10233.0
178,1927942719,1,71,10237.0,1,60,10245.0
179,1763833526,0,1,-1000.0,0,1,-1000.0
180,724838116,1,90,10249.0,1,76,10257.0
181,733041285,0,7,-986.0,1,67,10261.0
182,1743997476,0,2,-999.0,1,78,10264.0
183,607445022,1,88,10168.0,1,85,10176.0
184,1715503563,0,3,-998.0,1,85,10269.0
185,1752680832,1,101,10185.0,1,102,10204.0
186,1407214201,1,82,10239.0,1,72,10249.0
187,1596526395,1,60,10255.0,0,58,-751.0
188,491136928,1,84,10270.0,1,76,10263.0
189,1207633723,1,104,10246.0,0,3,-998.0
190,295653661,1,89,10258.0,1,91,10264.0
191,124095016,1,82,10244.0,1,78,10264.0
192,911330081,0,70,-793.0,1,77,10254.0
193,632529546,1,90,10247.0,0,1,-1000.0
194,325426993,0,2,-999.0,1,84,10256.0
195,1129929776,1,92,10252.0,1,81,10271.0
196,1875339376,1,82,10253.0,0,1,-1000.0
197,533930745,1,58,10240.0,1,55,10256.0
198,384671782,1,75,10241.0,1,77,10257.0
199,1864729514,0,94,-763.0,0,2,-999.0
200,65057289,1,72,10193.0,1,63,10208.0
